Airline ID;Source airport ID;Destination airport ID;Distance
1308;1;5;424.57
328;1;5;424.57
1308;1;4;157.09
1308;1;3;124.48
1308;1;2;106.71
328;2;5436;570.76
328;2;5430;393.96
1308;2;6;296.33
328;2;6;296.33
328;2;5;496.75
1308;2;4;183.57
1308;2;3;179.03
1308;2;1;106.71
1308;3;5434;345.17
1308;3;5433;149.12
1308;3;5431;131.31
1308;3;6;258.89
328;3;6;258.89
1308;3;5;515.27
328;3;5;515.27
1308;3;4;281.02
1308;3;2;179.03
1308;3;1;124.48
1308;4;5435;673.09
1308;4;5430;507.17
1308;4;5424;425.04
328;4;5424;425.04
1308;4;5423;303.59
1308;4;5421;477.98
1308;4;5;324.11
328;4;5;324.11
1308;4;3;281.02
1308;4;2;183.57
1308;4;1;157.09
1308;5;5984;0
1308;5;5979;0
328;5;5979;0
328;5;5437;559.29
328;5;5436;995.46
1308;5;5435;803.83
328;5;5435;803.83
1308;5;5434;806.92
328;5;5434;806.92
1308;5;5433;617.77
328;5;5433;617.77
1308;5;5431;556.38
328;5;5430;821.05
328;5;5429;536.93
328;5;5428;860.06
1308;5;5425;750.91
328;5;5425;750.91
1308;5;5424;564.98
328;5;5424;564.98
1308;5;5423;139.06
328;5;5423;139.06
1308;5;5422;354.5
328;5;5422;354.5
1308;5;5421;442.05
328;5;5421;442.05
328;5;5420;453.77
328;5;5419;935.33
328;5;4206;3381.4
328;5;4074;1407.73
328;5;3940;3518.79
328;5;3361;2754.26
4089;5;3361;2754.26
328;5;3322;842.56
4089;5;3322;842.56
1308;5;3320;2088.57
328;5;3320;2088.57
4089;5;3320;2088.57
5360;5;3320;2088.57
328;5;3316;4934.59
328;5;3077;5063.29
328;5;2397;3929.06
328;5;2279;5077.52
328;5;1960;3389.17
328;5;6;760.41
1308;5;4;324.11
328;5;4;324.11
1308;5;3;515.27
328;5;3;515.27
328;5;2;496.75
1308;5;1;424.57
328;5;1;424.57
328;6;5436;280.77
328;6;5;760.41
1308;6;3;258.89
328;6;3;258.89
1308;6;2;296.33
328;6;2;296.33
921;7;5445;43.55
921;7;5442;59.25
921;7;5440;242.48
921;7;9;698.92
921;7;8;463.67
921;8;5447;321.05
921;8;5443;148.37
921;8;5440;264.65
921;8;4248;0
921;8;3995;562.42
896;8;18;1428.03
921;8;16;1400.49
921;8;9;316.82
921;8;7;463.67
921;9;5447;131.36
921;9;5443;203.98
921;9;4248;0
921;9;3997;208.96
921;9;3995;248.47
921;9;609;3428.97
921;9;8;316.82
921;9;7;698.92
921;10;5446;107.82
896;11;18;249.39
896;12;18;380.14
896;15;18;221.55
2835;16;4167;5642.53
2835;16;3797;4163.05
2835;16;3751;5726.71
2835;16;3714;4494.66
2835;16;3577;5811.06
2835;16;3494;4176.7
2835;16;3448;3874.05
2835;16;1678;2630.58
2297;16;1423;2575.98
2835;16;1382;2240.97
18553;16;1382;2240.97
1441;16;1382;2240.97
18553;16;1212;3207.91
1441;16;1212;3207.91
2835;16;737;2142.41
3737;16;644;1782.72
2835;16;644;1782.72
4319;16;644;1782.72
3737;16;636;1489.38
2835;16;636;1489.38
2835;16;609;2143.82
18553;16;609;2143.82
1441;16;609;2143.82
2835;16;608;1967.29
2835;16;580;2037.56
2297;16;535;1384.56
2835;16;534;1347.39
2835;16;507;1894.9
2835;16;502;1935.18
18553;16;502;1935.18
1441;16;502;1935.18
2297;16;492;1861.67
2297;16;490;1817.4
2835;16;478;1653.01
2297;16;478;1653.01
2350;16;421;2444.22
2835;16;421;2444.22
2835;16;346;2691.62
2835;16;340;2401.09
18553;16;337;2431.01
1441;16;337;2431.01
2835;16;302;2148.01
2835;16;193;4170.41
2835;16;49;4921.31
921;16;8;1400.49
896;18;4248;0
896;18;15;221.55
896;18;12;380.14
896;18;11;249.39
896;18;8;1428.03
330;21;193;493.99
4021;21;144;511.92
1434;21;133;284.11
1434;21;121;418.42
330;27;192;58.25
11838;27;192;58.25
330;27;146;582.85
11838;27;111;352.29
330;28;146;380.2
1623;29;5534;287.48
1623;29;5487;282.71
502;29;5487;282.71
2354;29;147;517.76
2354;29;132;256.52
502;29;132;256.52
3856;30;7275;311.63
3856;30;156;172.41
3856;30;119;38.35
330;30;119;38.35
5416;31;178;1002.11
1623;32;196;849.94
2354;32;196;849.94
1623;32;183;455.73
2354;32;69;375.58
1623;32;37;432.35
2354;32;37;432.35
5416;33;178;738.42
330;33;156;52.24
330;34;178;326.91
330;34;156;403.07
1623;37;196;596.2
2354;37;196;596.2
2354;37;68;343.81
1623;37;32;432.35
2354;37;32;432.35
1623;40;75;411.41
2354;40;75;411.41
1623;40;55;748.27
2354;40;55;748.27
2354;41;5487;374.05
1623;41;147;290.89
502;41;147;290.89
2354;41;140;330.38
1623;41;132;460.32
502;41;132;460.32
330;45;193;1803.57
5416;45;193;1803.57
330;45;189;385.36
330;45;188;503.12
330;45;73;667.86
24;49;3877;1919.66
5416;49;3877;1919.66
2009;49;3858;1744.14
5416;49;3839;2178.31
330;49;3830;2279.74
5209;49;3830;2279.74
330;49;3751;1639.93
5209;49;3751;1639.93
24;49;3670;2622.85
439;49;3577;897.49
330;49;3550;2984.31
5209;49;3550;2984.31
330;49;3494;3247.85
5209;49;3494;3247.85
24;49;3484;2186.97
2009;49;3484;2186.97
5416;49;3484;2186.97
330;49;3469;1871.26
5209;49;3469;1871.26
24;49;3462;2213.43
5265;49;3462;2213.43
5416;49;3462;2213.43
5416;49;1852;4245.6
5416;49;1836;3697.1
330;49;507;6809.05
3320;49;507;6809.05
1623;49;196;1018.97
2354;49;196;1018.97
330;49;196;1018.97
2987;49;196;1018.97
5416;49;196;1018.97
330;49;193;2688.98
5416;49;193;2688.98
5416;49;184;861.25
330;49;178;245.98
5416;49;178;245.98
341;49;176;1528.49
5416;49;175;774.81
330;49;166;479.93
5416;49;166;479.93
330;49;160;1186.79
3090;49;160;1186.79
5416;49;160;1186.79
330;49;156;808.97
2987;49;156;808.97
5416;49;156;808.97
330;49;146;2968.62
5416;49;146;2968.62
3734;49;136;752.61
330;49;122;402.37
5416;49;122;402.37
330;49;120;689.9
5416;49;120;689.9
5416;49;119;877.5
330;49;100;2849.23
5416;49;100;2849.23
330;49;90;401
3734;49;90;401
3090;49;90;401
5416;49;90;401
5416;49;87;546.64
3734;49;72;847.65
5416;49;70;2701.95
2835;49;16;4921.31
1623;50;5534;149.22
2354;50;5534;149.22
502;50;5534;149.22
1623;50;187;261.85
502;50;187;261.85
2354;50;132;216.55
502;50;132;216.55
2748;54;4239;309.22
1623;54;155;445.33
2354;54;155;445.33
2354;55;5509;120.64
1623;55;5495;852.58
2354;55;5495;852.58
1623;55;170;297.32
2354;55;170;297.32
2354;55;154;629.4
1623;55;148;793.33
2354;55;148;793.33
1623;55;140;391.9
2354;55;140;391.9
1623;55;132;1175.61
2354;55;132;1175.61
502;55;132;1175.61
1623;55;100;2097.34
2354;55;100;2097.34
1623;55;40;748.27
2354;55;40;748.27
330;56;193;1060.52
330;56;146;561.27
330;56;100;712.68
330;56;73;260.8
1434;58;5524;87.42
502;58;5524;87.42
502;58;160;609.9
502;58;141;272.29
2354;60;196;361.85
68;60;196;361.85
330;61;193;250.36
330;63;111;561.48
330;63;65;250.5
330;65;63;250.5
1434;67;5527;156.13
1434;67;169;67.7
1434;67;121;297.18
1434;67;115;116.26
2354;68;37;343.81
1623;69;196;1089.42
1623;69;183;135.62
2354;69;183;135.62
2354;69;32;375.58
5416;70;178;2696.36
5416;70;117;1248.19
5416;70;73;1324.54
5416;70;49;2701.95
2354;72;196;193.89
3734;72;136;228.56
3734;72;49;847.65
1317;73;3878;2411.14
5416;73;3878;2411.14
330;73;3830;1988.43
5209;73;3830;1988.43
24;73;3752;1111.46
5265;73;3752;1111.46
2009;73;3697;959.4
5416;73;3697;959.4
24;73;3520;1302.98
5265;73;3520;1302.98
5209;73;3494;985.56
330;73;3448;664.77
5209;73;3448;664.77
5416;73;1852;3406.7
5416;73;1780;3222.59
5416;73;1760;2960.22
477;73;1441;605.42
330;73;507;4584.31
3320;73;507;4584.31
1868;73;340;5235.81
330;73;193;1288.22
3090;73;193;1288.22
5416;73;193;1288.22
330;73;189;880.41
3090;73;189;880.41
4021;73;189;880.41
5416;73;189;880.41
330;73;188;964.49
330;73;182;159.56
5416;73;178;3744.97
330;73;146;804.14
4021;73;146;804.14
330;73;135;193.09
330;73;126;304.86
330;73;125;814.4
330;73;117;164.5
330;73;100;954.76
4021;73;100;954.76
5416;73;100;954.76
5416;73;70;1324.54
330;73;56;260.8
330;73;45;667.86
1623;75;5495;394.18
1623;75;40;411.41
2354;75;40;411.41
330;78;178;452.58
5416;78;178;452.58
330;78;156;257.96
24;79;3830;636.26
5265;79;3830;636.26
5416;79;178;2649.18
439;87;3577;352.03
330;87;3484;1782.31
5209;87;3484;1782.31
5416;87;193;3065.4
5416;87;184;327.55
330;87;178;399.84
5416;87;178;399.84
341;87;176;1545.65
3856;87;164;260.98
341;87;156;287.17
330;87;156;287.17
5416;87;156;287.17
3734;87;112;455.97
5416;87;49;546.64
330;90;3751;1926.84
5209;90;3751;1926.84
330;90;193;2637.04
5416;90;193;2637.04
330;90;178;642.5
5416;90;178;642.5
330;90;156;1150.53
3734;90;112;526.24
3734;90;109;235.13
330;90;49;401
3734;90;49;401
5416;90;49;401
5399;94;5503;155.89
11838;94;202;318.53
5399;94;202;318.53
24;100;3876;1209.04
5265;100;3876;1209.04
330;100;3830;1050.94
5209;100;3830;1050.94
24;100;3752;607.06
5265;100;3752;607.06
330;100;3714;724.25
5209;100;3714;724.25
330;100;3697;526.01
5209;100;3697;526.01
2009;100;3645;706.87
330;100;3520;728.22
5209;100;3494;529.04
330;100;3448;497.92
5209;100;3448;497.92
330;100;507;5345.99
3320;100;507;5345.99
330;100;340;5984.33
3320;100;340;5984.33
341;100;196;3099.55
330;100;193;363.48
3090;100;193;363.48
5416;100;193;363.48
330;100;189;1766.83
5416;100;189;1766.83
330;100;178;2878.41
5416;100;178;2878.41
330;100;174;505.74
330;100;160;1688.43
5416;100;160;1688.43
330;100;156;3551.8
330;100;146;151.46
4021;100;144;350.6
330;100;117;857.04
4021;100;117;857.04
330;100;111;368.05
330;100;73;954.76
4021;100;73;954.76
5416;100;73;954.76
330;100;56;712.68
1623;100;55;2097.34
2354;100;55;2097.34
502;100;55;2097.34
330;100;49;2849.23
5416;100;49;2849.23
11838;106;7255;69.21
11838;106;202;147.61
330;108;156;754.55
2692;108;156;754.55
3734;109;136;147.31
3734;109;90;235.13
330;111;3830;1413.52
5209;111;3830;1413.52
24;111;3752;829.63
5265;111;3752;829.63
5209;111;3494;713.68
1317;111;1760;3150.38
1317;111;1382;5291.85
330;111;202;536.72
11838;111;202;536.72
330;111;193;731.51
5416;111;193;731.51
330;111;146;232.96
1317;111;146;232.96
4021;111;144;718.35
330;111;100;368.05
330;111;63;561.48
11838;111;27;352.29
330;112;178;119.1
3734;112;90;526.24
3734;112;87;455.97
330;113;193;312.14
5416;113;178;2540.91
4021;113;144;326.31
1434;115;5479;142.82
1434;115;160;206.68
1434;115;67;116.26
330;116;178;186.27
1317;117;3878;2445.02
5416;117;3878;2445.02
5209;117;3494;973.99
330;117;193;1206.48
5416;117;193;1206.48
330;117;146;705.81
330;117;100;857.04
4021;117;100;857.04
330;117;73;164.5
5416;117;70;1248.19
5416;119;178;784.87
3856;119;156;135.85
330;119;156;135.85
5416;119;49;877.5
3856;119;30;38.35
5416;120;3877;1803.54
2009;120;3858;1054.25
330;120;3830;1589.96
5209;120;3830;1589.96
330;120;3751;1175.3
5209;120;3751;1175.3
330;120;193;2027.68
5416;120;193;2027.68
330;120;178;661.63
5416;120;178;661.63
330;120;160;531.81
5416;120;160;531.81
330;120;156;1332.26
5416;120;156;1332.26
330;120;49;689.9
5416;120;49;689.9
1434;121;5479;304.74
330;121;193;911.33
5416;121;193;911.33
1434;121;169;269.47
330;121;160;600.34
1434;121;160;600.34
5416;121;160;600.34
4021;121;144;929.57
1434;121;143;586.01
1434;121;21;418.42
330;122;178;556.16
5416;122;178;556.16
330;122;49;402.37
5416;122;49;402.37
330;125;189;198.86
330;125;188;635.58
330;125;73;814.4
330;126;193;1562.19
330;126;73;304.86
330;127;162;98.66
330;127;156;428.68
29;128;5498;383.4
2354;132;5534;68.18
502;132;5534;68.18
1623;132;5487;91.67
2354;132;5487;91.67
502;132;5487;91.67
1623;132;196;1135.83
2354;132;196;1135.83
502;132;196;1135.83
1623;132;187;464.93
502;132;187;464.93
2354;132;160;1467.68
502;132;160;1467.68
1623;132;147;498.27
502;132;147;498.27
502;132;141;844.21
1623;132;55;1175.61
2354;132;55;1175.61
1623;132;50;216.55
2354;132;50;216.55
502;132;50;216.55
1623;132;41;460.32
502;132;41;460.32
1623;132;29;256.52
2354;132;29;256.52
502;132;29;256.52
330;133;193;340.32
1434;133;177;109.27
4021;133;144;350.97
1434;133;143;220.53
1434;133;121;668.8
1434;133;21;284.11
330;135;193;1103.47
330;135;146;612.97
330;135;73;193.09
3734;136;196;302.15
3734;136;109;147.31
3734;136;72;228.56
3734;136;49;752.61
1623;140;55;391.9
2354;140;55;391.9
2354;140;41;330.38
502;141;5524;289.74
502;141;5497;205.2
1623;141;187;398.47
502;141;187;398.47
502;141;160;656.36
502;141;58;272.29
330;143;193;560.35
1434;143;190;123.06
4021;143;144;570.29
1434;143;133;220.53
4021;144;3747;712.43
4021;144;3714;545.31
4021;144;3515;1106.83
4021;144;3494;540.32
4021;144;3448;696.37
330;144;146;492.62
4021;144;146;492.62
4021;144;143;570.29
4021;144;133;350.97
4021;144;121;929.57
4021;144;113;326.31
4021;144;111;718.35
4021;144;100;350.6
4021;144;21;511.92
330;146;5810;2936.73
330;146;5538;656.9
1317;146;3941;7631.49
330;146;3878;2008.3
1317;146;3878;2008.3
330;146;3877;3595.77
5416;146;3877;3595.77
24;146;3876;1292.2
5265;146;3876;1292.2
2009;146;3858;1524.59
5416;146;3858;1524.59
24;146;3830;1200.59
330;146;3830;1200.59
2222;146;3830;1200.59
5209;146;3830;1200.59
5265;146;3830;1200.59
5416;146;3830;1200.59
330;146;3825;401.77
5209;146;3825;401.77
24;146;3797;537.14
2350;146;3797;537.14
596;146;3797;537.14
2009;146;3797;537.14
5265;146;3797;537.14
5416;146;3797;537.14
24;146;3752;634.45
5265;146;3752;634.45
330;146;3751;2587.37
5209;146;3751;2587.37
330;146;3714;787.27
5209;146;3714;787.27
24;146;3697;521.97
330;146;3697;521.97
2009;146;3697;521.97
5209;146;3697;521.97
5265;146;3697;521.97
5416;146;3697;521.97
137;146;3682;1600.22
321;146;3682;1600.22
2009;146;3682;1600.22
24;146;3670;2432.14
5265;146;3670;2432.14
5416;146;3670;2432.14
24;146;3645;851.03
2009;146;3645;851.03
4259;146;3645;851.03
5265;146;3645;851.03
24;146;3576;2264.6
5265;146;3576;2264.6
5416;146;3576;2264.6
330;146;3550;2548.66
5209;146;3550;2548.66
330;146;3533;2231.2
1317;146;3533;2231.2
5416;146;3533;2231.2
24;146;3520;784.29
330;146;3520;784.29
5265;146;3520;784.29
330;146;3494;532.41
5209;146;3494;532.41
330;146;3484;3972.44
5209;146;3484;3972.44
330;146;3469;4075.65
5209;146;3469;4075.65
330;146;3448;408.96
5209;146;3448;408.96
330;146;2881;3440.89
330;146;2878;3635.48
24;146;2170;8896.58
4259;146;2170;8896.58
5265;146;2170;8896.58
330;146;1956;2381.31
330;146;1923;2589.95
1317;146;1923;2589.95
330;146;1918;2616.17
1936;146;1918;2616.17
1317;146;1918;2616.17
330;146;1910;2754.79
1936;146;1910;2754.79
1317;146;1910;2754.79
1936;146;1904;2700.23
1936;146;1903;2745.92
330;146;1901;2592.06
1936;146;1901;2592.06
1317;146;1901;2592.06
330;146;1897;2992.94
330;146;1852;2969.63
1317;146;1852;2969.63
5416;146;1852;2969.63
1317;146;1836;3980.34
321;146;1824;3712.6
330;146;1800;3024.91
330;146;1780;3023.11
1317;146;1780;3023.11
1317;146;1761;2873.78
330;146;1760;3032.29
1317;146;1760;3032.29
5416;146;1760;3032.29
330;146;1678;5995.41
4559;146;1678;5995.41
330;146;1665;5904.77
3320;146;1665;5904.77
4559;146;1665;5904.77
5209;146;1665;5904.77
1317;146;1638;5234.91
1317;146;1555;6584.08
1317;146;1551;6357.78
477;146;1441;1358.77
1908;146;1386;5526.55
330;146;1382;5523.22
137;146;1382;5523.22
596;146;1382;5523.22
2009;146;1382;5523.22
3320;146;1382;5523.22
1317;146;1382;5523.22
1317;146;1354;6128.49
1317;146;1353;6005.2
1317;146;1335;5864.9
1317;146;1273;5727.47
1317;146;1264;5517.83
1317;146;1230;5704.88
1317;146;1218;5911.06
4248;146;1074;5674.1
2009;146;580;5502.87
3090;146;580;5502.87
24;146;507;5213.95
330;146;507;5213.95
2350;146;507;5213.95
1355;146;507;5213.95
2822;146;507;5213.95
3320;146;507;5213.95
1317;146;502;5245.48
330;146;346;6150.47
3320;146;346;6150.47
330;146;340;5854.48
3320;146;340;5854.48
330;146;302;5553.57
3320;146;302;5553.57
1531;146;302;5553.57
1317;146;302;5553.57
4513;146;287;6770.13
794;146;210;6275.1
330;146;202;767.68
330;146;193;507.17
3320;146;193;507.17
4559;146;193;507.17
1317;146;193;507.17
5209;146;193;507.17
5416;146;193;507.17
330;146;192;545.19
330;146;189;1617.69
330;146;182;826.43
330;146;178;3005.39
5416;146;178;3005.39
330;146;160;1818.27
5416;146;160;1818.27
330;146;156;3681.97
5416;146;156;3681.97
2354;146;154;1449.52
330;146;153;420.9
330;146;149;492.44
330;146;144;492.62
4021;146;144;492.62
330;146;135;612.97
330;146;117;705.81
330;146;111;232.96
1317;146;111;232.96
330;146;100;151.46
330;146;73;804.14
4021;146;73;804.14
330;146;56;561.27
330;146;49;2968.62
5416;146;49;2968.62
330;146;28;380.2
330;146;27;582.85
502;147;132;498.27
502;147;41;290.89
2354;147;29;517.76
1623;148;5495;69.3
2354;148;5495;69.3
1623;148;55;793.33
2354;148;55;793.33
330;149;153;79.96
330;149;146;492.44
1623;152;170;172.23
2354;152;170;172.23
330;153;149;79.96
330;153;146;420.9
2354;154;146;1449.52
2354;154;55;629.4
2748;155;4239;136.11
2748;155;4238;70.71
1623;155;196;679.89
2354;155;196;679.89
1623;155;54;445.33
2354;155;54;445.33
3856;156;6738;428.39
3856;156;5545;817.44
3856;156;5523;118.72
4608;156;4144;8002.42
330;156;3930;8199.32
3163;156;3930;8199.32
28;156;3930;8199.32
24;156;3877;1597.1
330;156;3877;1597.1
2009;156;3877;1597.1
5416;156;3877;1597.1
2009;156;3867;1780.31
5416;156;3867;1780.31
2009;156;3858;2304.47
5416;156;3839;1794.74
24;156;3830;2831.25
330;156;3830;2831.25
2009;156;3830;2831.25
5209;156;3830;2831.25
5416;156;3830;2831.25
1680;156;3797;3930.2
330;156;3751;1789.4
5209;156;3751;1789.4
330;156;3728;4353.37
2009;156;3728;4353.37
5416;156;3728;4353.37
24;156;3720;403.28
330;156;3720;403.28
439;156;3720;403.28
5209;156;3720;403.28
24;156;3670;2819.21
5265;156;3670;2819.21
5416;156;3670;2819.21
5416;156;3602;4382.52
24;156;3577;204.51
330;156;3577;204.51
439;156;3577;204.51
2009;156;3577;204.51
5209;156;3577;204.51
5209;156;3550;3169.21
2009;156;3536;1281.86
5416;156;3514;4385.07
330;156;3494;3898.98
324;156;3494;3898.98
5209;156;3494;3898.98
24;156;3484;1740.8
330;156;3484;1740.8
439;156;3484;1740.8
5209;156;3484;1740.8
5416;156;3484;1740.8
330;156;3469;1288.65
5209;156;3469;1288.65
5416;156;3469;1288.65
24;156;3462;1980.3
5265;156;3462;1980.3
330;156;3456;4301.4
5416;156;3456;4301.4
330;156;3406;9015.65
751;156;3406;9015.65
1758;156;3406;9015.65
1767;156;3370;10202.51
330;156;3364;8491.9
751;156;3364;8491.9
330;156;3361;12500.35
330;156;3077;10268.82
1680;156;3077;10268.82
3952;156;2397;10553.61
330;156;2359;7558.3
324;156;2359;7558.3
24;156;2279;7503.07
330;156;2279;7503.07
2987;156;2279;7503.07
324;156;2279;7503.07
